Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Adenocarcinoma of lung (disorder)	C0152013	ADGRA2	25960	Q96PE1	adhesion G protein-coupled receptor A2	G-protein coupled receptor	22	0.743	0.308	5.4955e-08	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	SH2B1	25970	Q9NRF2	SH2B adaptor protein 1		140	0.566	0.731	0.96861	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	EGFL6	25975	Q8IUX8	EGF like domain multiple 6		22	0.729	0.385	9.9818e-13	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	REXO2	25996	Q9Y3B8	RNA exonuclease 2		2	1.0	0.038	0.023229	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GORASP2	26003	Q9H8Y8	golgi reassembly stacking protein 2		12	0.78	0.308	0.88389	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	ACOT11	26027	Q8WXI4	acyl-CoA thioesterase 11	Enzyme	18	0.76	0.462	1.0844e-16	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IS1	260402		Adolescent idiopathic scoliosis		83	0.593	0.615		0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	DCAF4	26094	Q8WV16	DDB1 and CUL4 associated factor 4		9	0.839	0.077	9.2807e-06	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GATA2	2624	P23769	GATA binding protein 2		229	0.496	0.654	0.97927	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	GATA4	2626	P43694	GATA binding protein 4		336	0.458	0.846	0.49308	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	FBXO22	26263	Q8NEZ5	F-box protein 22		23	0.743	0.346	0.97746	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	MYCBP	26292	Q99417	MYC binding protein	Transcription factor	39	0.663	0.5	0.84451	0.01		1.0	1	0	1994.0	1994.0
Adenocarcinoma of lung (disorder)	C0152013	GBP1	2633	P32455	guanylate binding protein 1	Enzyme modulator	53	0.626	0.731	1.2564e-15	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GBX2	2637	P52951	gastrulation brain homeobox 2	Transcription factor	16	0.751	0.385	0.71347	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LHX6	26468	Q9UPM6	LIM homeobox 6	Nucleic acid binding	22	0.736	0.346	0.96572	0.01		0.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	PLEK2	26499	Q9NYT0	pleckstrin 2	Cellular structure	20	0.729	0.231	5.2858e-09	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RGS17	26575	Q9UGC6	regulator of G protein signaling 17	Enzyme modulator	35	0.716	0.346	0.26684	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	GDF2	2658	Q9UK05	growth differentiation factor 2	Signaling	152	0.529	0.731	0.0024656	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GREM1	26585	O60565	gremlin 1, DAN family BMP antagonist		179	0.508	0.808	0.47436	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	VCX	26609	Q9H320	variable charge X-linked		22	0.716	0.538	0.34444	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	GEM	2669	P55040	GTP binding protein overexpressed in skeletal muscle		251	0.467	0.769	1.179e-08	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	B4GALT1	2683	P15291	beta-1,4-galactosyltransferase 1	Enzyme	45	0.674	0.538	0.037435	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GHR	2690	P10912	growth hormone receptor	Signaling	247	0.49	0.846	8.4385e-05	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	GIP	2695	P09681	gastric inhibitory polypeptide		110	0.57	0.654	0.27108	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	ABL2	27	P42684	ABL proto-oncogene 2, non-receptor tyrosine kinase	Kinase	56	0.619	0.654	3.6365e-07	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FGF22	27006	Q9HCT0	fibroblast growth factor 22	Signaling	7	0.821	0.269	6.6707e-07	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	FOXD3	27022	Q9UJU5	forkhead box D3	Transcription factor	78	0.587	0.692	0.58216	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	NOX1	27035	Q9Y5S8	NADPH oxidase 1		142	0.536	0.808	8.6564e-08	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	LAT	27040	O43561	linker for activation of T cells		124	0.548	0.731	0.0092377	0.01		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	UTP25	27042	Q68CQ4	UTP25 small subunit processor component	Nucleic acid binding	10	0.805	0.269	1.2381e-06	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	SND1	27044	Q7KZF4	staphylococcal nuclease and tudor domain containing 1	Transcription factor	101	0.576	0.769	0.98213	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	LAMP3	27074	Q9UQV4	lysosomal associated membrane protein 3	Transporter	104	0.56	0.692	0.00026747	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	MTBP	27085	Q96DY7	MDM2 binding protein		25	0.729	0.269	3.5074e-19	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DKK4	27121	Q9UBT3	dickkopf WNT signaling pathway inhibitor 4		51	0.647	0.5	0.00076744	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DKK2	27123	Q9UBU2	dickkopf WNT signaling pathway inhibitor 2		74	0.599	0.692	0.75318	0.01		0.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AFF4	27125	Q9UHB7	AF4/FMR2 family member 4	Transcription factor	62	0.644	0.769	1.0	0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	AGO2	27161	Q9UKV8	argonaute RISC catalytic component 2		186	0.501	0.885	1.0	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	IL17C	27189	Q9P0M4	interleukin 17C		61	0.619	0.692	0.0001243	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	IL17B	27190	Q9UHF5	interleukin 17B		116	0.553	0.769	0.033631	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GLB1	2720	P16278	galactosidase beta 1	Enzyme	385	0.448	0.808	7.9215e-10	0.01		1.0	1	0	2002.0	2002.0
Adenocarcinoma of lung (disorder)	C0152013	GCLC	2729	P48506	glutamate-cysteine ligase catalytic subunit	Enzyme	198	0.509	0.885	0.42718	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	UBE2S	27338	Q16763	ubiquitin conjugating enzyme E2 S		42	0.653	0.5	0.63172	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PRPF19	27339	Q9UMS4	pre-mRNA processing factor 19		13	0.792	0.346	0.99995	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	RABGEF1	27342	Q9UJ41	RAB guanine nucleotide exchange factor 1	Enzyme modulator	122	0.55	0.731	0.00063083	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	MCAT	27349	Q8IVS2	malonyl-CoA-acyl carrier protein transacylase		147	0.524	0.808	0.00030611	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	SGSM3	27352	Q96HU1	small G protein signaling modulator 3	Enzyme	259	0.469	0.808	3.4061e-15	0.01		1.0	1	0	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	GLS	2744	O94925	glutaminase	Enzyme	217	0.489	0.808	0.96154	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GLRX	2745	P35754	glutaredoxin		65	0.619	0.577	5.6744e-07	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	AMY1A	276	P04745	amylase alpha 1A		65	0.644	0.731	0.00032325	0.01		1.0	1	0	1994.0	1994.0
Adenocarcinoma of lung (disorder)	C0152013	GMDS	2762	O60547	GDP-mannose 4,6-dehydratase	Enzyme	33	0.716	0.385	0.99132	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	AMY1B	277	P04745	amylase alpha 1B		63	0.647	0.731	0.00060271	0.01		1.0	1	0	1994.0	1994.0
Adenocarcinoma of lung (disorder)	C0152013	AMY1C	278	P04745	amylase alpha 1C		63	0.647	0.731	0.0033974	0.01		1.0	1	0	1994.0	1994.0
Adenocarcinoma of lung (disorder)	C0152013	GOT1	2805	P17174	glutamic-oxaloacetic transaminase 1		71	0.601	0.692	0.0011573	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	GPC1	2817	P35052	glypican 1		96	0.587	0.731	0.015547	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SBF2-AS1	283104		SBF2 antisense RNA 1		35	0.67	0.385		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	H19	283120		H19 imprinted maternally expressed transcript		242	0.494	0.923		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00485	283432		long intergenic non-protein coding RNA 485		1	1.0	0.038		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HNF1A-AS1	283460		HNF1A antisense RNA 1		70	0.621	0.538		0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	FBXL19-AS1	283932	Q494R0	FBXL19 antisense RNA 1		20	0.743	0.192		0.01		1.0	1	0	2020.0	2020.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00324	284029		long intergenic non-protein coding RNA 324		12	0.805	0.115		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	LAMA1	284217	P25391	laminin subunit alpha 1		107	0.582	0.808	3.2248e-32	0.01		1.0	1	0	1994.0	1994.0
Adenocarcinoma of lung (disorder)	C0152013	LYPD5	284348	Q6UWN5	LY6/PLAUR domain containing 5		64	0.608	0.615	0.00047161	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	ZNF763	284390	Q0D2J5	zinc finger protein 763		35	0.691	0.5	0.018273	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	WDR62	284403	O43379	WD repeat domain 62		83	0.597	0.615	2.3562e-23	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	RSPO1	284654	Q2MKA7	R-spondin 1		81	0.593	0.731	1.4418e-06	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LINC01270	284751		long intergenic non-protein coding RNA 1270		2	1.0	0.038		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00319	284836		long intergenic non-protein coding RNA 319		24	0.711	0.385		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DLL1	28514	O00548	delta like canonical Notch ligand 1		212	0.492	0.808	0.99999	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	TUSC7	285194		tumor suppressor candidate 7		27	0.705	0.154		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CCDC66	285331	A2RUB6	coiled-coil domain containing 66		17	0.743	0.154	5.6053e-36	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	DLX6-AS1	285987		DLX6 antisense RNA 1		50	0.628	0.423		0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	TMED10P1	286102		transmembrane p24 trafficking protein 10 pseudogene 1		44	0.663	0.615		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GPR42	2866	O15529	G protein-coupled receptor 42 (gene/pseudogene)	G-protein coupled receptor	255	0.475	0.846	0.050905	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	TRIM59	286827	Q8IWR1	tripartite motif containing 59		74	0.599	0.577	0.0014575	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GPX4	2879	P36969	glutathione peroxidase 4	Enzyme	201	0.516	0.808	4.7865e-05	0.01		1.0	1	0	2007.0	2007.0
Adenocarcinoma of lung (disorder)	C0152013	MCTS1	28985	Q9ULC4	MCTS1 re-initiation and release factor	Receptor	109	0.552	0.692	0.87474	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	NR3C1	2908	P04150	nuclear receptor subfamily 3 group C member 1	Nuclear receptor	590	0.393	0.885	0.96958	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	STXBP6	29091	Q8NFX7	syntaxin binding protein 6	Transporter	8	0.805	0.269	7.8743e-05	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	DROSHA	29102	Q9NRR4	drosha ribonuclease III	Enzyme	77	0.599	0.692	0.093176	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	BRD7	29117	Q9NPI1	bromodomain containing 7	Epigenetic regulator	46	0.638	0.5	0.99774	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	GSR	2936	P00390	glutathione-disulfide reductase	Enzyme	206	0.494	0.846	1.2922e-06	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	GSTM2	2946	P28161	glutathione S-transferase mu 2		195	0.488	0.808	3.3913e-07	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	GSTM4	2948	Q03013	glutathione S-transferase mu 4		23	0.736	0.269	1.3834e-08	0.01		1.0	1	0	2002.0	2002.0
Adenocarcinoma of lung (disorder)	C0152013	GSTP1	2950	P09211	glutathione S-transferase pi 1		610	0.383	0.923	0.014155	0.01		0.0	1	0	2003.0	2003.0
Adenocarcinoma of lung (disorder)	C0152013	USP25	29761	Q9UHP3	ubiquitin specific peptidase 25	Enzyme	21	0.743	0.308	0.7522	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	OLA1	29789	Q9NTK5	Obg like ATPase 1	Enzyme modulator	18	0.78	0.269	0.058062	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ICOS	29851	Q9Y6W8	inducible T cell costimulator		193	0.502	0.731	0.031284	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	GUK1	2987	Q16774	guanylate kinase 1	Kinase	19	0.769	0.346	2.3324e-05	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	GUSB	2990	P08236	glucuronidase beta		183	0.53	0.846	4.0382e-08	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	EEF2K	29904	O00418	eukaryotic elongation factor 2 kinase	Kinase	52	0.641	0.385	8.3628e-20	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	RMC1	29919	Q96DM3	regulator of MON1-CCZ1		110	0.555	0.731	0.98823	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	LINC00312	29931	Q9Y6C7	long intergenic non-protein coding RNA 312		26	0.711	0.385		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	MRM2	29960	Q9UI43	mitochondrial rRNA methyltransferase 2		10	0.821	0.269	0.00023612	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	LRP12	29967	Q9Y561	LDL receptor related protein 12	Enzyme	37	0.743	0.462	0.99799	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	TBX21	30009	Q9UL17	T-box transcription factor 21	Transcription factor	124	0.541	0.808	0.99636	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	SPANXA1	30014	Q9NS26	sperm protein associated with the nucleus, X-linked, family member A1		33	0.682	0.346		0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HBE1	3046	P02100	hemoglobin subunit epsilon 1		41	0.686	0.269	0.019963	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	HDAC2	3066	Q92769	histone deacetylase 2	Epigenetic regulator	257	0.476	0.846	0.99997	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	HDGF	3068	P51858	heparin binding growth factor	Signaling	89	0.575	0.654	0.27272	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CFH	3075	P08603	complement factor H		393	0.441	0.885	0.86061	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	ANXA6	309	P08133	annexin A6		156	0.514	0.846	1.0804e-08	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	HIC1	3090	Q14526	HIC ZBTB transcriptional repressor 1	Transcription factor	163	0.522	0.615	0.13002	0.01		1.0	1	0	2009.0	2009.0
Adenocarcinoma of lung (disorder)	C0152013	HIP1	3092	O00291	huntingtin interacting protein 1	Cellular structure	56	0.653	0.577	0.76173	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HLA-DQB1	3119	P01920	major histocompatibility complex, class II, DQ beta 1	Immune response	504	0.407	0.885	0.0089259	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HMGB3	3149	O15347	high mobility group box 3	Nucleic acid binding	71	0.604	0.615	0.79758	0.01		1.0	1	0	2010.0	2010.0
Adenocarcinoma of lung (disorder)	C0152013	APAF1	317	O14727	apoptotic peptidase activating factor 1		145	0.525	0.769	9.6242e-06	0.01		1.0	1	0	2006.0	2006.0
Adenocarcinoma of lung (disorder)	C0152013	HNRNPD	3184	Q14103	heterogeneous nuclear ribonucleoprotein D		60	0.621	0.654	0.99621	0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	HNRNPK	3190	P61978	heterogeneous nuclear ribonucleoprotein K	Enzyme	185	0.539	0.846	0.99998	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA@	3197		homeobox A cluster		66	0.599	0.654		0.01		1.0	1	0	2002.0	2002.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA3	3200	O43365	homeobox A3		36	0.695	0.538	0.9445	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA4	3201	Q00056	homeobox A4		37	0.663	0.5	8.5959e-06	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA5	3202	P20719	homeobox A5	Transcription factor	79	0.595	0.577	0.0029693	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	HOXA13	3209	P31271	homeobox A13		126	0.552	0.654	0.9551	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HOXB4	3214	P17483	homeobox B4		44	0.647	0.423	0.059777	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	HOXC10	3226	Q9NYD6	homeobox C10		43	0.641	0.5	0.17368	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	HOXC13	3229	P31276	homeobox C13		27	0.695	0.346	0.42048	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	HOXD@	3230		homeobox D cluster		52	0.631	0.538		0.01		1.0	1	0	2002.0	2002.0
Adenocarcinoma of lung (disorder)	C0152013	HP	3240	P00738	haptoglobin	Enzyme	464	0.412	0.885	1.736e-05	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	HPRT1	3251	P00492	hypoxanthine phosphoribosyltransferase 1	Enzyme	210	0.5	0.808	0.93728	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		229	0.486	0.769	0.030228	0.01		1.0	1	0	2008.0	2008.0
Adenocarcinoma of lung (disorder)	C0152013	HSPA1B	3304	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1B		251	0.474	0.808	0.0053464	0.01		1.0	1	0	2008.0	2008.0
Adenocarcinoma of lung (disorder)	C0152013	HSPA8	3312	P11142	heat shock protein family A (Hsp70) member 8		124	0.553	0.808	0.99863	0.01		1.0	1	0	2012.0	2012.0
Adenocarcinoma of lung (disorder)	C0152013	HSPD1	3329	P10809	heat shock protein family D (Hsp60) member 1		398	0.432	0.808	0.99257	0.01		1.0	1	0	2004.0	2004.0
Adenocarcinoma of lung (disorder)	C0152013	KRTAP8-1	337879	Q8IUC2	keratin associated protein 8-1		1	1.0	0.038	0.1027	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	S100A7A	338324	Q86SG5	S100 calcium binding protein A7A		28	0.7	0.231	0.002523	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IRF8	3394	Q02556	interferon regulatory factor 8	Transcription factor	149	0.539	0.808	0.94807	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	ARMH1	339541	Q6PIY5	armadillo like helical domain containing 1		111	0.553	0.692	1.6479e-05	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RSPO2	340419	Q6UXX9	R-spondin 2		113	0.558	0.577	0.024608	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	BEX5	340542	Q5H9J7	brain expressed X-linked 5		1	1.0	0.038	0.0025394	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	VSIG1	340547	Q86XK7	V-set and immunoglobulin domain containing 1		16	0.769	0.269	0.0023894	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	IDH3A	3419	P50213	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha	Enzyme	37	0.705	0.385	0.15704	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	CFI	3426	P05156	complement factor I		133	0.569	0.731	3.5432e-08	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IFIT2	3433	P09913	interferon induced protein with tetratricopeptide repeats 2		42	0.656	0.5	0.25099	0.01		1.0	1	0	2019.0	2019.0
Adenocarcinoma of lung (disorder)	C0152013	IFNA2	3440	P01563	interferon alpha 2		355	0.442	0.885		0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	IFNAR1	3454	P17181	interferon alpha and beta receptor subunit 1	Receptor	142	0.532	0.769	3.2501e-12	0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	RBMY2DP	347598		RNA binding motif protein Y-linked family 2 member D, pseudogene		14	0.76	0.385		0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IGBP1	3476	P78318	immunoglobulin binding protein 1	Immune response	57	0.641	0.692	0.98274	0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	SOX2-OT	347689		SOX2 overlapping transcript		77	0.597	0.615		0.01		1.0	1	0	2016.0	2016.0
Adenocarcinoma of lung (disorder)	C0152013	SERINC2	347735	Q96SA4	serine incorporator 2		15	0.792	0.192	3.9153e-13	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	PWAR4	347745		Prader Willi/Angelman region RNA 4		99	0.573	0.769		0.01		1.0	1	0	2013.0	2013.0
Adenocarcinoma of lung (disorder)	C0152013	IGFBP2	3485	P18065	insulin like growth factor binding protein 2	Enzyme modulator	241	0.478	0.769	0.11898	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IGFBP4	3487	P22692	insulin like growth factor binding protein 4	Enzyme modulator	94	0.572	0.731	0.023057	0.01		1.0	1	0	2011.0	2011.0
Adenocarcinoma of lung (disorder)	C0152013	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IGKC	3514	P01834	immunoglobulin kappa constant		26	0.7	0.423		0.01		1.0	1	0	2017.0	2017.0
Adenocarcinoma of lung (disorder)	C0152013	KLK3	354	P07288	kallikrein related peptidase 3	Enzyme	358	0.443	0.885	4.4271e-06	0.01		1.0	1	0	1997.0	1997.0
Adenocarcinoma of lung (disorder)	C0152013	IL2RA	3559	P01589	interleukin 2 receptor subunit alpha	Receptor	540	0.389	0.885	0.054709	0.01		1.0	1	0	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	IL4	3565	P05112	interleukin 4		996	0.332	0.962	0.0047372	0.01		1.0	1	0	2018.0	2018.0
Adenocarcinoma of lung (disorder)	C0152013	IL7	3574	P13232	interleukin 7		275	0.464	0.808	0.92574	0.01		1.0	1	0	2014.0	2014.0
Adenocarcinoma of lung (disorder)	C0152013	IL7R	3575	P16871	interleukin 7 receptor	Receptor	231	0.487	0.769	3.763e-07	0.01		1.0	1	1	2015.0	2015.0
Adenocarcinoma of lung (disorder)	C0152013	AQP1	358	P29972	aquaporin 1 (Colton blood group)	Ion channel	268	0.467	0.885	2.5697e-07	0.01		1.0	1	0	2017.0	2017.0
